autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"GRÁCIO, Maria Cláudia Cabrini  ","OLIVEIRA, Ely Francina Tannuri de","GURGEL, Júlio de Araujo","ESCALONA, Maria Isabel","GUERRERO, Antonio Pulgarin",,,,,,,,,Scientometrics (Online),2013
"GRÁCIO, Maria Cláudia Cabrini  ","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2012
"GRÁCIO, Maria Cláudia Cabrini  ","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,,Liinc em Revista,2013
"GRÁCIO, Maria Cláudia Cabrini  ","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,,Em Questão,2014
"GRÁCIO, Maria Cláudia Cabrini  ","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,,Liinc em Revista,2011
"GRÁCIO, Maria Cláudia Cabrini  ","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2014
"GRÁCIO, Maria Cláudia Cabrini  ","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2014
"GRÁCIO, Maria Cláudia Cabrini  ","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2015
"GUIMARÃES, José Augusto Chaves","FERREIRA, Gustavo Meletti",,,,,,,,,,,,Revista EDICIC,2011
"GUIMARÃES, José Augusto Chaves","GILCHRIST, Alan","PANIAGUA, Carlos García Figuerola","SUAIDEN, Emir José","ISO, Francisco Javier Nogueras","GARCIA MARCO, Francisco Javier",,,,,,,,Scire (Zaragoza),2014
"GUIMARÃES, José Augusto Chaves","GRÁCIO, Maria Cláudia Cabrini","MATOS, Daniela Fernanda de Oliveira",,,,,,,,,,,Datagramazero (Rio de Janeiro),2014
"GUIMARÃES, José Augusto Chaves","GRÁCIO, Maria Cláudia Cabrini","SALES, Rodrigo de",,,,,,,,,,,Datagramazero (Rio de Janeiro),2012
"GUIMARÃES, José Augusto Chaves","MATOS, Daniela Fernanda de Oliveira","SANTOS, André Ynada dos","SALES, Rodrigo de",,,,,,,,,,Scire (Zaragoza),2015
