autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"CASTRO FILHO, Cláudio Marcondes de","COPPOLA JUNIOR, Claudinei",,,,,,,Biblioteca Escolar em Revista,2012
"CARVALHO, Mavi Galante Mancera Dall'Acqua","ROMÃO, Lucília Maria Sousa","GARCIA, Dantielli Assumpção",,,,,,Revista ACB (Florianópolis),2014
"CARVALHO, Larissa Akabochi de","CRIPPA, Giulia",,,,,,,Perspectivas em Ciência da Informação,2013
"BITTAR, Marisa","SILVA, Márcia Regina da","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,Avaliação (UNICAMP),2011
"BISCALCHIN, Ana Carolina Silva","ALMEIDA, Marco Antônio de",,,,,,,Liinc em Revista,2011
"BISCALCHIN, Ana Carolina Silva","ALMEIDA, Marco Antônio de",,,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"BENEVENUTTO, Felipe Etelvino","SILVA, Márcia Regina da","MOSTAFA, Solange Puntel",,,,,,Datagramazero (Rio de Janeiro),2015
"BEMBEM, Angela Halen Claro","SANTAREM SEGUNDO, José Eduardo","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,Folha de Rosto: Revista de Biblioteconomia e Ciência da Informação,2015
"BASTOS, Gustavo Grandini","ROMÃO, Lucília Maria Sousa",,,,,,,Datagramazero (Rio de Janeiro),2011
"BASTOS, Gustavo Grandini","ALMEIDA, Marco Antônio de","ROMÃO, Lucília Maria Sousa",,,,,,Informação & Sociedade (UFPB),2011
"BASTOS, Gustavo Grandini","ROMÃO, Lucília Maria Sousa",,,,,,,Versão Beta (UFSCar),2012
"BASTOS, Gustavo Grandini","ROMÃO, Lucília Maria Sousa","PACIFICO, Soraya Maria Romano",,,,,,Liinc em Revista,2011
"BASTOS, Gustavo Grandini","GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,,,,,Rua (UNICAMP),2014
"BASTOS, Gustavo Grandini","GALLI, Fernanda Correa Silveira","ROMÃO, Lucília Maria Sousa",,,,,,Perspectivas em Ciência da Informação,2013
"BASTOS, Gustavo Grandini  ","GALLI, Fernanda Correa Silveira","ROMÃO, Lucília Maria Sousa",,,,,,Diálogos Pertinentes: Revista Científica de Letras,2013
"ARAÚJO, Thaíse Vieira de","PACÍFICO, Soraya Maria Romano","ROMÃO, Lucília Maria Sousa",,,,,,Pesquisas em Discurso Pedagógico (Online),2011
"ALMEIDA, Marco Antônio de",,,,,,,,Revista Ciências Sociais Unisinos,2014
"ALMEIDA, Marco Antônio de",,,,,,,,Informação & Informação (UEL),2014
"ALMEIDA, Marco Antônio de",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2013
"ALMEIDA, Marco Antônio de",,,,,,,,Problemata,2012
"ALMEIDA, Marco Antônio de",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2015
"ALMEIDA, Marco Antônio de","NOGUEIRA, João Robson Fernandes",,,,,,,Perspectivas: Revista de Ciências Sociais (UNESP. Araraquara. Impresso),2013
"ALMEIDA, João Flávio de","ROMÃO, Lucília Maria Sousa",,,,,,,Versão Beta (UFSCar),2013
"SARDELARI, Íris Marques Tavares ","CASTRO FILHO, Cláudio Marcondes de","HENRIQUE, Jorge Luis",,,,,,Perspectivas em Gestão & Conhecimento,2016
"CASTRO FILHO, Cláudio Marcondes de","SILVA, Márcia Regina da",,,,,,,Ponto de Acesso (UFBA),2016
"CASTRO FILHO, Cláudio Marcondes de","SILVA, Márcia Regina da","COSTA, Geovana Canevari",,,,,,PerCursos (Florianópolis. Online),2016
"FERREIRA, Adam Felipe","SARDELARI, Íris Marques Tavares","CASTRO FILHO, Cláudio Marcondes de",,,,,,Biblioteca Escolar em Revista,2016
"ROSA, Carlos Adriano","CASTRO FILHO, Cláudio Marcondes de",,,,,,,Revista Eco-Pós (Online),2016
"ROSA, Carlos Adriano ","CASTRO FILHO, Cláudio Marcondes de",,,,,,,Agora (Florianopolis),2016
"OLIVEIRA, Rômulo José ","CASTRO FILHO, Cláudio Marcondes de",,,,,,,Revista de Ciências Humanas,2016
