autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"CÔRTES, Pedro Luiz","TORRENTE, Mauro","PINTO, Ailton Pinto Alves","RUIZ, Mauro Silva","DIAS, António José Guerner","ROFRIGUES, Rosely",,,Estudos Avançados (Online),2015
"CÔRTES, Pedro Luiz ","MORETTI, Sergio Luiz do Amaral",,,,,,,REMark. Revista Brasileira de Marketing,2013
"CÔRTES, Pedro Luiz","DUARTE, João Roberto Cordeiro","DIAS, Sylmara Lopes Gonçalves",,,,,,Social Responsibility Journal,2014
"CÔRTES, Pedro Luiz","CÔRTES, Eliana Golfette de Paula",,,,,,,Revista de Gestão da Tecnologia e Sistemas de Informação (Online),2011
"CÔRTES, Pedro Luiz ","ALVES FILHO, Ailton Pinto","RUIZ, Mauro Silva","TEIXEIRA, Cláudia Echevenguá",,,,,RAI : Revista de Administração e Inovação,2011
"CÔRTES, Pedro Luiz ","AGUIAR, Alexandre de Oliveira e",,,,,,,REAd. Revista Eletrônica de Administração (Porto Alegre. Online),2014
"CÔRTES, Pedro Luiz ","AGUIAR, Alexandre de Oliveira e","RUIZ, Mauro Silva",,,,,,Tecnologias de Administração e Contabilidade,2014
"CHAVES, Elisabete Cecilia Januario ","GALEGALE, Napoleão Verardi","AZEVEDO, Marilia Macorin","CÔRTES, Pedro Luiz",,,,,Business Management Review (BMR),2015
"AZEVEDO, E.","GUIMARAES, R.","DIAS, Antonio Jose Guerner","PASCHOALIN FILHO, João Alexandre","CÔRTES, Pedro Luiz",,,,Comunicações Geológicas,2014
"AVENA, Magdalena José","PIERUCCINI, Ivete",,,,,,,Datagramazero (Rio de Janeiro),2013
"ASSIS, Leonardo da Silva","SILVA, José Fernando Modesto da",,,,,,,Biblionline (João Pessoa),2015
"AQUINO, Afonso Rodrigues","PALETTA, Francisco Carlos",,,,,,,Revista Brasileira de Pesquisa e Desenvolvimento,2012
"ALMEIDA, Robinson Mascarenhas ","MUCHERONI, Marcos Luiz",,,,,,,Trilha Digital,2014
