Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,,Primer Congreso de Gestión Cultural,2011
"NEVES, Silvia Soares das","TORRENTE, Mauro ","RODRIGUES, Rosely","CÔRTES, Pedro Luiz ",,,,Encontro Internacional sobre Gestão Empresarial e Meio Ambiente (ENGEMA),2012
"NEVES, Silvia Soares das","TORRENTE, Mauro ","RODRIGUES, Rosely","CÔRTES, Pedro Luiz ","DIAS, Antonio Jose Guerner",,,Seminários em Administração- FEA USP,2013
"MUGNAINI, Rogério",,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"MUGNAINI, Rogério","SALES, Denise Peres",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2011
"MUGNAINI, Rogério","DIGIAMPIETRI, Luciano Antonio",,,,,,International Conference on Scientometrics and Informetrics (ISSI),2015
"MUGNAINI, Rogério","DIGIAMPIETRI, Luciano Antonio","MENA-CHALCO, Jesus",,,,,International Conference on Scientometrics and Informetrics (ISSI),2013
"MUGNAINI, Rogério","DIGIAMPIETRI, Luciano Antonio","MENA-CHALCO, Jesus",,,,,Congreso Internacional de Información (INFO),2014
"MUCHERONI, Marcos Luiz ",,,,,,,Congresso Mundial de Comunicação Ibero-Americana,2011
"MUCHERONI, Marcos Luiz","SILVA, José Fernando Modesto da","PALETTA, Francisco Carlos",,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"MUCHERONI, Marcos Luiz","SANTOS, Edison Luis",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"MUCHERONI, Marcos Luiz","RIBEIRO, Danilo",,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2013
"MUCHERONI, Marcos Luiz","RIBEIRO, Camila","PAIVA, Daniel Costa de",,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2012
"MUCHERONI, Marcos Luiz","FERREIRA, Gonçalo Costa",,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2012
"MUCHERONI, Marcos Luiz","FERREIRA, Gonçalo Costa",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2012
"MUCHERONI, Marcos Luiz ","PALETTA, Francisco Carlos",,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2014
"MOREIRA, Walter","LARA, Marilda Lopes Ginez de",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2011
"MONTEIRO, Juliana","LARA, Marilda Lopes Ginez de",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2014
"MONTEIRO, Hugo Felipe Moreira da Silva","DIAS, Antonio Jose Guerner","PASCHOALIN FILHO, João Alexandre","CÔRTES, Pedro Luiz ",,,,"Seminário Recursos Geológicos, Ambientais e Ordenamento do Território",2013
"MIRANDA, Elaine Cristina Pinto de","MUGNAINI, Rogério",,,,,,International Conference on Scientometrics and Informetrics (ISSI),2013
"MARTINS, Mariana Thamires","SOARES, Maria Sueny Barbosa","FRANCELIN, Marivalde Moacir",,,,,"Encontro de Estudos sobre Tecnologia, Ciência e Gestão da Informação (ENEGI)",2011
"MARQUES, Bruna Pacheco ","SANTOS, Cibele Araujo Camargo Marques dos",,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2015
"MARINGELLI, Isabel Ayres","SILVA, José Fernando Modesto da",,,,,,IFLA WLIC,2015
"MAIMONE, Giovana Deliberali",,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2014
