Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"NOVELLI, Valéria Aparecida Moreira","HOFFMANN, Wanda Aparecida Machado","GRACIOSO, Luciana de Souza ",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2012
"NOVELLI, Valéria Aparecida Moreira","HOFFMANN, Wanda Aparecida Machado","GRACIOSO, Luciana de Souza ",,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"OLIVEIRA, Emerson Chaves de","PINI'AWE, Simeão Parine'edi ","BRACCIALI, Marcia Regina Pires","FERRAZ, Maria Cristina Comunian",,,,,,,,,,Seminário Povos Indígenas e Sustentabilidade: saberes tradicionais e formação acadêmica,2011
"OLIVEIRA, Greissi Gomes","AMARAL, Roniberto Morato do ",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"OLIVEIRA, Maria Fernanda de ","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,Jornadas de Jóvenes Investigadores AUGM,2011
"OLIVEIRA, Walison Aparecido de","HAYASHI, Carlos Roberto Massao","GUIRRA, Daniel André Rigo",,,,,,,,,,,"Encontro Nacional dos Estudantes de Biblioteconomia, Documentação, Ciência e Gestão da Informação (ENEBD)",2013
"OLIVEIRA, Walison Aparecido de","SILVA, Fernanda Ferreira da","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"PRADO, Ronildo Santos","AMARAL, Roniberto Morato do ","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"PUERTA, Adriana Aparecida","FARIA, Leandro Innocentini Lopes de","PENTEADO FILHO, Roberto de Camargo",,,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2012
"RAMALHO, Rogério Aparecido Sá","ZAFALON, Zaira Regina","OUCHI, Marcos Teruo",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2014
"REBELATTO, Aron Nascimento","ZABOTTO, Cristina Nardin","AMARAL, Daniel Capaldo","SILVA, Sergio Luis da",,,,,,,,,,Encontro Nacional de Engenharia de Produção (ENEGEP),2014
"RIGOLIN, Camila Carneiro Dias  ","HAYASHI, Maria Cristina Piumbato Innocentini","KOBAYASHI, Elizabete Mayumy ",,,,,,,,,,,Seminário Nacional de História da Ciência e da Tecnologia,2014
"RIGOLIN, Camila Carneiro Dias ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Congresso Brasileiro de Sociologia (SBS),2011
"RIGOLIN, Camila Carneiro Dias ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,"Simpósio Nacional de Ciência, Tecnologia e Sociedade",2015
"RIGOLIN, Camila Carneiro Dias ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Conferência do Desenvolvimento (CODE),2011
"ROCCA, Ivan ","KAWAKAMI, Cristian","ETTORE, Daniel","OTSUDA, Joice","KOCHANI, Ardala Ponce","GRACIOSO, Luciana de Souza","ROSALES, Gislaine Cristina Micheloti",,,,,,,Congresso Brasileiro de Ensino Superior a distância ,2011
"ROCHA, Micherlângela Barroso ","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,Congresso Brasileiro de Gestão do Conhecimento,2014
"ROMANETTO, Luiza Menezes","MILANEZ, Douglas Henrique","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2012
"SACOMANO NETO, Mario","MATUI, Paulo Cesar","CANDIDO, Silvio Eduardo Alvarez","AMARAL, Roniberto Morato do",,,,,,,,,,Society for the Advancement of Socio-Economics (SASE),2015
"SANO, Vivian Gabriela Kaori","AMARAL, Roniberto Morato do ",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"SANTOS, Cíntia Almeida da Silva","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,"Simpósio Nacional de Ciência, Tecnologia e Sociedade",2015
"SANTOS, Cíntia Almeida da Silva ","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"SANTOS, Cíntia Almeida da Silva ","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,Congresso Brasileiro de Gestão do Conhecimento,2014
"SANTOS, Elis Regina Alves dos","SOUSA, Cidoval Morais de","SILVA, Meliza Cristina da","PERSEGUINO, Silvana Aparecida","OGATA, Márcia Niituma","PEDRO, Wilson José Alves","FERRAZ, Maria Cristina Comunian",,,,,,,"Simpósio Nacional de Ciência, Tecnologia e Sociedade",2013
