Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"GRÁCIO, Maria Cláudia Cabrini","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"GRÁCIO, Maria Cláudia Cabrini  ","FERREIRA, Gustavo Meletti","GUIMARÃES, José Augusto Chaves",,,,,,,,,Encuentro Ibérico EDICIC,2011
"GONCALEZ, Paula Regina Ventura Amorim","JORENTE, Maria José Vicentini",,,,,,,,,,Congreso ISKO España y Portugal,2013
"GIL LEIVA, Isidoro","FUJITA, Mariângela Spotti Lopes","DÍAZ ORTUÑO, Pedro",,,,,,,,,Congreso ISKO España y Portugal,2013
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2013
"FUJITA, Mariângela Spotti Lopes","RIBEIRO, Camila",,,,,,,,,,Encuentro Ibérico EDICIC,2013
"FUJITA, Mariângela Spotti","BOCCATO, Vera Regina Casari","RUBI, Milena Polsineli",,,,,,,,,Encuentro Ibérico EDICIC,2011
"FERREIRA, Ana Maria Jensen Ferreira da Costa","VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,Encuentro Ibérico EDICIC,2013
"FERREIRA, Ana Maria Jensen Ferreira da Costa","LANZI, Lucirene Andréa Catini","MARSULO, Thabyta Giraldelli","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,Conferência Internacional EUTIC,2015
"FERNEDA, Edberto","DIAS, Guilherme Ataíde",,,,,,,,,,Congreso ISKO España y Portugal,2015
"FARIAS, Mona Cleide Quirino da Silva","ALMEIDA, Carlos Cândido de",,,,,,,,,,Congreso ISKO España y Portugal,2015
"FARIAS, Mona Cleide Quirino da Silva","ALMEIDA, Carlos Cândido de",,,,,,,,,,Congreso ISKO España y Portugal,2013
"FARIAS, Mona Cleide Quirino da Silva","ALMEIDA, Carlos Cândido de","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"EVANGELISTA, Isadora Victorino","MOREIRA, Walter","MORAES, João Batista Ernesto de",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"DAVANZO, Luciana","MOREIRA, Walter",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"DAVANZO, Luciana","MOREIRA, Walter",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"DAL´EVEDOVE, Paula Regina","TARTAROTTI, Roberta Cristina Dal'Evedove","FUJITA, Mariângela Spotti Lopes",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"DAL´EVEDOVE, Paula Regina","ALMEIDA, Carlos Cândido de","FUJITA, Mariângela Spotti Lopes",,,,,,,,,Congreso ISKO España y Portugal,2013
"CUSTÓDIO, Pollyana Agata Gomes da Rocha","OLIVEIRA, Ely Francina Tannuri de","BUFREM, Leilah Santiago",,,,,,,,,Encuentro Ibérico EDICIC,2015
"CERIGATTO, Mariana Pícaro","CASARIN, Helen de Castro Silva",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"CASTANHA, Renata Cristina Gutierres","HILÁRIO, Carla Mara","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,Encuentro Ibérico EDICIC,2013
"CASTANHA, Renata Cristina Gutierres","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Encuentro Ibérico EDICIC,2015
"CASTANHA, Renata Cristina Gutierres","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"CASTANHA, Renata Cristina Gutierres","GRÁCIO, Maria Cláudia Cabrini","MILANI, Suellen Oliveira",,,,,,,,,Congreso ISKO España y Portugal,2015
"CASARIN, Helen de Castro Silva",,,,,,,,,,,Encuentro Ibérico EDICIC,2013
"CARRASCO, Laís Barbudo","VIDOTTI, Silvana Aparecida Borsetti Gregorio","THALLER, Phil Manfred",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"CÂNDIDO, Gilberto Gomes","MORAES, João Batista Ernesto de",,,,,,,,,,Congreso ISKO España y Portugal,2015
"CÂNDIDO, Gilberto Gomes","MORAES, João Batista Ernesto de","SABBAG, Deise Maria Antonio",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"CALDAS, Rosângela Formentini",,,,,,,,,,,Encuentro Ibérico EDICIC,2013
"BOCCATO, Vera Regina Casari  ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"BASTOS, Flávia Maria","VIDOTTI, Silvana Aparecida Borsetti Gregorio","ODDONE, Nanci Elizabeth",,,,,,,,,International Conference on Electronic Publishing ,2012
"BARROS, Thiago Henrique Bragato","MORAES, João Batista Ernesto de",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"ARROYO, Adolfo Alonso","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,Encuentro Ibérico EDICIC,2013
"ARBOIT, Aline Elis","GRÁCIO, Maria Cláudia Cabrini","OLIVEIRA, Ely Francina Tannuri de","BUFREM, Leilah Santiago",,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"ARAYA, Elizabeth Roxana Mass","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,International Conference on Electronic Publishing ,2012
"ARAÚJO, Paula Carina de","GUIMARÃES, José Augusto Chaves",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"ARAKAKI, Felipe Augusto","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","ALVES, Rachel Cristina Vesu",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"AMOR, Víctor","MARTÍNEZ-ÁVILA, Daniel","SAN SEGUNDO, Rosa",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"ALVES, Roberta Caroline Vesu","MORAES, João Batista Ernesto de",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"ALVES, Roberta Caroline Vesu","MORAES, João Batista Ernesto de",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"ALVES, Bruno Henrique","PAVANELLI, Maria Aparecida","OLIVEIRA, Ely Francina Tannuri de","PRADO, Marcos Aparecido Rodrigues do",,,,,,,,Encuentro Ibérico EDICIC,2015
"ALVES, Bruno Henrique","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"ALVES, Bruno Henrique","GRÁCIO, Maria Cláudia Cabrini","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"ALVES, Ana Paula Meneses","CASARIN, Helen de Castro Silva","MOLINA, Juan Carlos Fernández",,,,,,,,,Encuentro Ibérico EDICIC,2015
"ALMEIDA, Carlos Cândido de",,,,,,,,,,,Congreso ISKO España y Portugal,2013
"ALMEIDA, Carlos Cândido de","GARCÍA-MARCO, Francisco Javier",,,,,,,,,,Congreso ISKO España y Portugal,2015
"AGUSTIN LACRUZ, María del Carmen","FUJITA, Mariângela Spotti Lopes","TERRA, Ana Lúcia Silva",,,,,,,,,Congreso ISKO España y Portugal,2013
"SILVA, Elaine da","VALENTIM, Marta Lígia Pomim","MANO GONZÁLEZ, Marta de La",,,,,,,,,International Conference on Technological Ecosystems for Enhancing Multiculturality,2016
