Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"LOPES, Elaine Cristina","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Seminário de Competência em Informação: cenários e tendências,2014
"LEMOS, Joana Gusmão","JORENTE, Maria José Vicentini",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"LEMOS, Joana Gusmão","JORENTE, Maria José Vicentini","FERNEDA, Edberto",,,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"LEMOS, Joana Gusmão","JORENTE, Maria José Vicentini","FERNEDA, Edberto",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"LANZI, Lucirene Andréa Catini  ","VIDOTTI, Silvana Aparecida Borsetti Gregorio","SANTAREM SEGUNDO, Jose Eduardo",,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2014
"LANZI, Lucirene Andréa Catini","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"LANZI, Lucirene Andréa Catini  ","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto",,,,,,,,,Seminário de Extensão Universitária da FFC - Marília,2011
"LANZI, Lucirene Andréa Catini  ","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto",,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2011
"LANZI, Lucirene Andréa Catini  ","SANTOS, Camila Araújo dos","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,Conferência Internacional EUTIC,2014
"LANZI, Lucirene Andréa Catini","FERNEDA, Edberto",,,,,,,,,,Seminário Científico Arquivologia e Biblioteconomia: acesso à informação,2011
"LANZI, Lucirene Andréa Catini  ","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto",,,,,,,,,Seminário em Ciência da Informação (SECIN),2011
"LANZI, Lucirene Andréa Catini","VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERNEDA, Edberto","BORTOLIN, Sueli",,,,,,,,Seminário em Ciência da Informação (SECIN),2013
"KAJIMOTO, Natacha","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Workshop de Pesquisa em Ciência da Informação (WPCI),2013
"JORGE, Carlos Francisco Bitencourt","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro da Associação de Educação e Investigação em Ciência da Informação da IberoAmérica e Caribe (EDICIC),2011
"JORGE, Carlos Francisco Bitencourt","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"JORENTE, Maria José Vicentini",,,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2011
"JORENTE, Maria José Vicentini",,,,,,,,,,,"Encontro Internacional de Informação, Conhecimento e Ação",2015
"JORENTE, Maria José Vicentini",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"JORENTE, Maria José Vicentini",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"JORENTE, Maria José Vicentini",,,,,,,,,,,International Conference on Electronic Publishing,2012
"JORENTE, Maria José Vicentini","SILVA, Anahi Rocha",,,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2013
"JORENTE, Maria José Vicentini","GONCALEZ, Paula Regina Ventura Amorim",,,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2013
